tractID,Median household income in the past 12 months (in 2024 inflation-adjusted dollars),Total:_x,Owner occupied,Renter occupied,Total:_y,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races:,Two races including Some Other Race,"Two races excluding Some Other Race, and three or more races",Median value (dollars),Total:,Less than 10.0 percent,10.0 to 14.9 percent,15.0 to 19.9 percent,20.0 to 24.9 percent,25.0 to 29.9 percent,30.0 to 34.9 percent,35.0 to 39.9 percent,40.0 to 49.9 percent,50.0 percent or more,Not computed,pct_owner_occ,pct_renter_occ,pct_white,pct_black,pct_asian,pct_amer_indian,pct_pacific_isl,pct_other_race,pct_two_plus_race,pct_renter_cost_burdened,pct_renter_severely_burdened,TRACTCE,GEOID
1.01,69577.0,1746,141,1605,3417,1693,652,0,422,0,131,519,199,320,791700.0,1605,24,93,210,328,188,80,198,140,294,50,0.08075601374570447,0.9192439862542955,0.4954638571846649,0.19081065261925667,0.12350014632718759,0.0,0.0,0.03833772314896108,0.15188762071992976,0.44361370716510906,0.18317757009345795,000101,53033000101
1.02,89840.0,2358,840,1518,4321,3121,362,0,431,0,226,181,49,132,985800.0,1518,30,35,106,226,166,156,67,313,320,99,0.356234096692112,0.6437659033078881,0.722286507752835,0.08377690349456145,0.09974542929877343,0.0,0.0,0.05230270770654941,0.041888451747280724,0.5638998682476943,0.21080368906455862,000102,53033000102
2.01,88833.0,2486,1269,1217,4953,2594,356,41,980,0,611,371,253,118,738600.0,1217,24,43,168,52,136,111,151,246,209,77,0.5104585679806919,0.4895414320193081,0.523722996163941,0.07187563093074904,0.19785988289925296,0.008277811427417727,0.0,0.12335958005249344,0.07490409852614577,0.5891536565324569,0.17173377156943304,000201,53033000201
2.02,138472.0,1549,1131,418,4404,2165,374,6,708,0,340,811,520,291,792500.0,418,46,0,68,9,44,7,7,27,150,60,0.7301484828921885,0.26985151710781147,0.4915985467756585,0.08492279745685741,0.16076294277929154,0.0013623978201634877,0.0,0.07720254314259764,0.18415077202543143,0.4569377990430622,0.3588516746411483,000202,53033000202
3,135536.0,1201,865,336,2926,1797,179,11,612,1,23,303,97,206,678600.0,336,11,23,105,27,54,20,0,48,41,7,0.720233139050791,0.279766860949209,0.614149008885851,0.061175666438824335,0.20915926179084074,0.0037593984962406013,0.0003417634996582365,0.00786056049213944,0.10355434039644566,0.3244047619047619,0.12202380952380952,000300,53033000300
4.02,128310.0,2669,1503,1166,5365,3763,91,0,426,7,169,909,701,208,789300.0,1166,84,93,144,66,348,128,16,39,167,81,0.563132259273136,0.436867740726864,0.7013979496738117,0.01696178937558248,0.07940354147250699,0.0,0.00130475302889096,0.031500465983224604,0.16943150046598324,0.30017152658662094,0.1432246998284734,000402,53033000402
4.03,65469.0,1815,601,1214,3285,2147,194,8,407,0,105,424,49,375,589000.0,1214,12,40,109,151,230,109,63,98,402,0,0.33112947658402203,0.668870523415978,0.6535768645357687,0.059056316590563165,0.123896499238965,0.0024353120243531205,0.0,0.0319634703196347,0.12907153729071538,0.5535420098846787,0.3311367380560132,000403,53033000403
4.04,45940.0,2093,272,1821,3668,1127,746,18,596,75,344,762,420,342,567600.0,1821,19,48,123,147,18,105,258,344,726,33,0.12995699952221693,0.870043000477783,0.30725190839694655,0.20338058887677207,0.1624863685932388,0.004907306434023991,0.02044711014176663,0.09378407851690294,0.20774263904034895,0.7869302580999451,0.3986820428336079,000404,53033000404
5,216471.0,1252,1187,65,3381,2484,134,46,292,0,40,385,97,288,1231200.0,65,0,5,9,0,0,0,0,25,17,9,0.9480830670926518,0.051916932907348244,0.7346938775510204,0.0396332446021887,0.08636498077491866,0.013605442176870748,0.0,0.011830819284235433,0.11387163561076605,0.6461538461538462,0.26153846153846155,000500,53033000500
6.01,100341.0,1823,876,947,4660,2704,431,9,750,74,83,609,240,369,877400.0,947,0,70,48,290,79,142,63,40,193,22,0.4805266044980801,0.51947339550192,0.5802575107296137,0.0924892703862661,0.1609442060085837,0.0019313304721030042,0.01587982832618026,0.017811158798283263,0.13068669527896995,0.4625131995776135,0.20380147835269272,000601,53033000601
6.02,116544.0,1442,860,582,3433,1771,181,43,554,0,171,713,248,465,811700.0,582,46,74,108,88,61,27,46,49,61,22,0.5963938973647711,0.40360610263522884,0.5158753277017186,0.05272356539469852,0.1613748907660938,0.012525487911447713,0.0,0.04981066122924556,0.20769006699679582,0.31443298969072164,0.10481099656357389,000602,53033000602
7,95431.0,2472,1054,1418,4857,3003,475,0,603,42,232,502,122,380,805600.0,1418,0,81,75,327,120,156,100,140,403,16,0.42637540453074435,0.5736245954692557,0.6182828906732551,0.09779699402923615,0.12415071031500927,0.0,0.008647313156269302,0.04776611076796376,0.10335598105826642,0.5634696755994358,0.2842031029619182,000700,53033000700
